,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.055462923
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.121602304
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.054299727
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.055380348
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.122140944
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.06887661
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.20807928
70,0.0
71,0.0
72,0.0
73,0.0
74,0.040882446
75,0.0
76,0.0
77,0.023641964
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.2674324
93,0.0
94,0.020911615
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.09877702
107,0.0
108,0.08496365
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.1377881
121,0.013200977
122,0.039345007
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.14185816
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.05505934
147,0.0
148,0.0
149,0.045530632
150,0.06686835
151,0.07185924
152,0.0
153,0.0
154,0.0
155,0.026765924
156,0.0
157,0.0
158,0.16562045
159,0.049345832
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.08602466
166,0.0
167,0.0
168,0.0
169,0.0
170,0.13173713
171,0.19625466
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.038122267
178,0.0
179,0.0
180,0.0
181,0.0033165268
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.122586936
191,0.21423933
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.024647698
222,0.0
223,0.0
224,0.0
225,0.0
226,0.46033427
227,0.0
228,0.10751838
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0935664
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.15938699
260,0.0
261,0.0
262,0.026865426
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0063110343
274,0.0756758
275,0.016057948
276,0.17539674
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.055357415
286,0.0
287,0.004709114
288,0.091409646
289,0.15055636
290,0.0
291,0.0
292,0.0
293,0.09024192
294,0.0
295,0.0
296,0.11047501
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.11326919
310,0.0
311,0.0
312,0.047793556
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.18050833
320,0.016646191
321,0.0
322,0.08214089
323,0.0
324,0.0
325,0.0
326,0.2349769
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.17351092
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.16101314
341,0.09892805
342,0.11553684
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.07232923
353,0.0
354,0.05627842
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.042976327
364,0.0
365,0.0
366,0.0
367,0.45958763
368,0.0
369,0.031921424
370,0.08222171
371,0.0
372,0.0
373,0.0
374,0.09039489
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.18427826
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0988737
393,0.0
394,0.04450231
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,0.0
407,0.018089866
408,0.0
409,0.0
410,0.0
411,0.0
412,0.0
413,0.21225737
414,0.0
415,0.0
416,0.0
417,0.5029971
418,0.0
419,0.03401655
420,0.0
421,0.07035401
422,0.0
423,0.021161793
424,0.0
425,0.0
426,0.021524787
427,0.15527667
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.16809703
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,0.0
442,0.0
443,0.0
444,0.0
445,0.0
446,0.0
447,0.038431123
448,0.03337352
449,0.025983362
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,0.0
456,0.0
457,0.0
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.18232407
464,0.0
465,0.020380838
466,0.0
467,0.0
468,0.0
469,0.050157357
470,0.07919621
471,0.0
472,0.17133537
473,0.0
474,0.0
475,0.03789284
476,0.0
477,0.0
478,0.0
479,0.0
480,0.0
481,0.11774966
482,0.0
483,0.0
484,0.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.09928826
491,0.0
492,0.0
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.39922306
499,0.0
500,0.0
501,0.0
502,0.0
503,0.0
504,0.0
505,0.0
506,0.0
507,0.15050556
508,0.0
509,0.0
510,0.0
511,0.0
